LinkText,URL
"Main page","https://en.wikipedia.org/wiki/Main_Page"
"Contents","https://en.wikipedia.org/wiki/Wikipedia:Contents"
"Current events","https://en.wikipedia.org/wiki/Portal:Current_events"
"Random article","https://en.wikipedia.org/wiki/Special:Random"
"About Wikipedia","https://en.wikipedia.org/wiki/Wikipedia:About"
"Help","https://en.wikipedia.org/wiki/Help:Contents"
"Learn to edit","https://en.wikipedia.org/wiki/Help:Introduction"
"Community portal","https://en.wikipedia.org/wiki/Wikipedia:Community_portal"
"Recent changes","https://en.wikipedia.org/wiki/Special:RecentChanges"
"Upload file","https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard"
"Special pages","https://en.wikipedia.org/wiki/Special:SpecialPages"
"Search","https://en.wikipedia.org/wiki/Special:Search"
"learn more","https://en.wikipedia.org/wiki/Help:Introduction"
"Contributions","https://en.wikipedia.org/wiki/Special:MyContributions"
"Talk","https://en.wikipedia.org/wiki/Special:MyTalk"
"Article","https://en.wikipedia.org/wiki/Zionism"
"Talk","https://en.wikipedia.org/wiki/Talk:Zionism"
"Read","https://en.wikipedia.org/wiki/Zionism"
"Read","https://en.wikipedia.org/wiki/Zionism"
"What links here","https://en.wikipedia.org/wiki/Special:WhatLinksHere/Zionism"
"Related changes","https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Zionism"
"Zionism (disambiguation)","https://en.wikipedia.org/wiki/Zionism_(disambiguation)"
"Theodor Herzl","https://en.wikipedia.org/wiki/Theodor_Herzl"
"Der Judenstaat","https://en.wikipedia.org/wiki/Der_Judenstaat"
"a series","https://en.wikipedia.org/wiki/Outline_of_Judaism"
"Jews","https://en.wikipedia.org/wiki/Jews"
"Judaism","https://en.wikipedia.org/wiki/Judaism"
"Etymology","https://en.wikipedia.org/wiki/Jew_(word)"
"Who is a Jew?","https://en.wikipedia.org/wiki/Who_is_a_Jew%3F"
"Jewish studies","https://en.wikipedia.org/wiki/Jewish_studies"
"Religion","https://en.wikipedia.org/wiki/Judaism"
"God in Judaism","https://en.wikipedia.org/wiki/God_in_Judaism"
"names","https://en.wikipedia.org/wiki/Names_of_God_in_Judaism"
"Principles of faith","https://en.wikipedia.org/wiki/Jewish_principles_of_faith"
"Mitzvot","https://en.wikipedia.org/wiki/Mitzvah"
"613","https://en.wikipedia.org/wiki/613_commandments"
"Halakha","https://en.wikipedia.org/wiki/Halakha"
"Shabbat","https://en.wikipedia.org/wiki/Shabbat"
"Holidays","https://en.wikipedia.org/wiki/Jewish_holidays"
"Prayer","https://en.wikipedia.org/wiki/Jewish_prayer"
"Tzedakah","https://en.wikipedia.org/wiki/Tzedakah"
"Land of Israel","https://en.wikipedia.org/wiki/Laws_and_customs_of_the_Land_of_Israel_in_Judaism"
"Brit","https://en.wikipedia.org/wiki/Brit_milah"
"Bar and bat mitzvah","https://en.wikipedia.org/wiki/Bar_and_bat_mitzvah"
"Marriage","https://en.wikipedia.org/wiki/Jewish_views_on_marriage"
"Bereavement","https://en.wikipedia.org/wiki/Bereavement_in_Judaism"
"Baal teshuva","https://en.wikipedia.org/wiki/Baal_teshuva_movement"
"Philosophy","https://en.wikipedia.org/wiki/Jewish_philosophy"
"Ethics","https://en.wikipedia.org/wiki/Jewish_ethics"
"Kabbalah","https://en.wikipedia.org/wiki/Kabbalah"
"Messiah","https://en.wikipedia.org/wiki/Messiah_in_Judaism"
"Claimants","https://en.wikipedia.org/wiki/List_of_Jewish_messiah_claimants"
"Customs","https://en.wikipedia.org/wiki/Minhag"
"Rites","https://en.wikipedia.org/wiki/Nusach_(Jewish_custom)"
"Synagogue","https://en.wikipedia.org/wiki/Synagogue"
"Rabbi","https://en.wikipedia.org/wiki/Rabbi"
"Texts","https://en.wikipedia.org/wiki/Sifrei_Kodesh"
